Scheme Strike Density
CN 1.1106 1.24e+00
Hagan 1.1206 1.25e+00
LMG3 1.1206 1.21e+00
LMG2 1.1206 1.21e+00
RAN 1.1206 1.21e+00
RE 1.1206 1.21e+00
TRBDF2 1.1206 1.21e+00
CN 1.1206 1.21e+00
Hagan 1.1307 1.22e+00
LMG3 1.1307 1.18e+00
LMG2 1.1307 1.18e+00
RAN 1.1307 1.18e+00
RE 1.1307 1.18e+00
TRBDF2 1.1307 1.18e+00
CN 1.1307 1.18e+00
Hagan 1.1407 1.19e+00
LMG3 1.1407 1.15e+00
LMG2 1.1407 1.15e+00
RAN 1.1407 1.15e+00
RE 1.1407 1.15e+00
TRBDF2 1.1407 1.15e+00
CN 1.1407 1.15e+00
Hagan 1.1508 1.15e+00
LMG3 1.1508 1.12e+00
LMG2 1.1508 1.12e+00
RAN 1.1508 1.12e+00
RE 1.1508 1.12e+00
TRBDF2 1.1508 1.12e+00
CN 1.1508 1.12e+00
Hagan 1.1608 1.12e+00
LMG3 1.1608 1.09e+00
LMG2 1.1608 1.09e+00
RAN 1.1608 1.09e+00
RE 1.1608 1.09e+00
TRBDF2 1.1608 1.09e+00
CN 1.1608 1.09e+00
Hagan 1.1709 1.08e+00
LMG3 1.1709 1.06e+00
LMG2 1.1709 1.06e+00
RAN 1.1709 1.06e+00
RE 1.1709 1.06e+00
TRBDF2 1.1709 1.06e+00
CN 1.1709 1.06e+00
Hagan 1.1809 1.05e+00
LMG3 1.1809 1.02e+00
LMG2 1.1809 1.02e+00
RAN 1.1809 1.02e+00
RE 1.1809 1.02e+00
TRBDF2 1.1809 1.02e+00
CN 1.1809 1.02e+00
Hagan 1.1910 1.01e+00
LMG3 1.1910 9.91e-01
LMG2 1.1910 9.91e-01
RAN 1.1910 9.91e-01
RE 1.1910 9.91e-01
TRBDF2 1.1910 9.91e-01
CN 1.1910 9.91e-01
Hagan 1.2010 9.74e-01
LMG3 1.2010 9.59e-01
LMG2 1.2010 9.59e-01
RAN 1.2010 9.59e-01
RE 1.2010 9.59e-01
TRBDF2 1.2010 9.59e-01
CN 1.2010 9.59e-01
